blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,address,latitude,longitude
727,CLEMENTI WEST ST 2,2,1980,Y,Y,N,N,N,N,CL,6,0,0,4,0,0,0,0,0,0,0,2,0,727 CLEMENTI WEST ST 2,1.304572,103.764032
663,YISHUN AVE 4,12,1986,Y,N,N,N,N,N,YS,88,0,0,0,48,40,0,0,0,0,0,0,0,663 YISHUN AVE 4,1.419947,103.8402416556377
1,EVERTON PK,12,1980,Y,Y,N,N,N,N,BM,95,0,0,62,0,33,0,0,0,0,0,0,0,1 EVERTON PK,1.2774006500000001,103.84014021302036
118B,JLN MEMBINA,30,2001,Y,N,N,N,N,N,BM,143,0,0,0,58,85,0,0,0,0,0,0,0,118B JLN MEMBINA,1.2818998000000001,103.82594841199878
187,BISHAN ST 13,11,1986,Y,N,N,Y,N,N,BH,80,0,0,0,0,0,80,0,0,0,0,0,0,187 BISHAN ST 13,1.3497022,103.85135067846807
999B,BUANGKOK CRES,17,2018,Y,N,N,N,N,N,HG,126,0,0,31,95,0,0,0,0,0,0,0,0,999B BUANGKOK CRES,1.38260555,103.87978005
328,SEMBAWANG CRES,15,1997,Y,N,N,Y,N,N,SB,87,0,0,0,59,28,0,0,0,0,0,0,0,328 SEMBAWANG CRES,1.44438725,103.8190263
515A,WOODLANDS DR 14,1,1998,N,Y,N,N,N,N,WL,0,0,0,0,0,0,0,0,0,0,0,0,0,515A WOODLANDS DR 14,1.4342096,103.79012247921366
250,HOUGANG AVE 3,4,1983,Y,N,N,N,N,N,HG,24,0,0,16,8,0,0,0,0,0,0,0,0,250 HOUGANG AVE 3,1.35381055,103.8911688
657B,PUNGGOL EAST,17,2022,Y,N,N,N,N,N,PG,153,0,119,0,6,28,0,0,0,0,0,0,0,657B PUNGGOL EAST,1.3984488,103.92265170583892
43,SIMS DR,12,1989,Y,N,N,N,N,N,GL,77,0,0,0,57,20,0,0,0,0,0,0,0,43 SIMS DR,1.3170076499999999,103.87649727644649
450,HOUGANG AVE 10,9,1989,Y,Y,N,Y,N,N,HG,48,0,0,0,40,8,0,0,0,0,0,0,0,450 HOUGANG AVE 10,1.370429724292517,103.895699484102
213,MARSILING CRES,13,1982,Y,N,N,N,N,N,WL,119,0,0,69,48,0,1,0,0,0,0,1,0,213 MARSILING CRES,1.4464543,103.77216439032655
411B,NORTHSHORE DR,25,2022,Y,N,N,N,N,N,PG,112,0,66,23,23,0,0,0,0,0,0,0,0,411B NORTHSHORE DR,1.4182929,103.90620934768668
269A,YISHUN ST 22,15,2015,Y,Y,N,N,N,Y,YS,238,0,0,0,0,0,0,0,0,98,140,0,0,269A YISHUN ST 22,1.43679695,103.84094462179777
497G,TAMPINES ST 45,10,1994,Y,N,N,N,N,N,TAP,98,0,0,0,62,36,0,0,0,0,0,0,0,497G TAMPINES ST 45,1.3602026,103.95941034885857
109C,EDGEDALE PLAINS,17,2001,Y,N,N,N,N,N,PG,85,0,0,0,27,58,0,0,0,0,0,0,0,109C EDGEDALE PLAINS,1.3965872190466764,103.9117996935443
426,YISHUN AVE 11,6,2013,N,N,N,N,Y,N,YS,0,0,0,0,0,0,0,0,0,0,0,0,0,426 YISHUN AVE 11,1.4228987499999999,103.84602085
219C,BEDOK CTRL,17,2008,Y,N,N,N,N,N,BD,95,0,0,0,63,32,0,0,0,0,0,0,0,219C BEDOK CTRL,1.3248322,103.93355969492295
312,WOODLANDS ST 31,4,1987,Y,N,N,N,N,N,WL,32,0,0,0,32,0,0,0,0,0,0,0,0,312 WOODLANDS ST 31,1.4306985,103.77565629761565
523,JELAPANG RD,17,1997,Y,N,N,N,N,N,BP,101,0,0,0,49,32,20,0,0,0,0,0,0,523 JELAPANG RD,1.3867816,103.76750315000001
549,HOUGANG ST 51,9,1990,Y,N,N,N,N,N,HG,72,0,0,0,64,8,0,0,0,0,0,0,0,549 HOUGANG ST 51,1.3772884905790197,103.88850671034427
828,JURONG WEST ST 81,11,1992,Y,N,N,N,N,N,JW,40,0,0,0,0,0,40,0,0,0,0,0,0,828 JURONG WEST ST 81,1.34518285,103.6930571857955
232,SERANGOON AVE 3,12,1984,Y,N,N,N,N,N,SGN,88,0,0,0,88,0,0,0,0,0,0,0,0,232 SERANGOON AVE 3,1.3547494,103.8687486
593A,MONTREAL LINK,16,2013,Y,N,N,N,N,N,SB,135,0,0,30,105,0,0,0,0,0,0,0,0,593A MONTREAL LINK,1.45160665,103.82794681536046
306,JURONG EAST ST 32,12,1982,Y,N,N,Y,N,N,JE,210,0,0,189,19,1,1,0,0,0,0,0,0,306 JURONG EAST ST 32,1.34590695,103.73561353446439
